"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"IrpinModel.nlogo"
"Vary Site-Selection Artillery Active"
"04/19/2025 01:43:24:609 -0400"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","459","0","624"
"[run number]","turn-on-artillery?","turn-on-stop-conditions?","spacing-mode","site-selection-mode","[step]","battle-outcome","infantry-crossed","infantry-casualties","infantry-used","pontoons-used","ticks"
"1","true","true","Uniform","01 Shortest Bridges","9780","Retreat","400","4510","5620","27910","9780"
"11","true","true","Uniform","01 Shortest Bridges","9440","Retreat","0","4510","5510","26980","9440"
"7","true","true","Uniform","01 Shortest Bridges","9620","Retreat","0","4510","5550","27590","9620"
"8","true","true","Uniform","01 Shortest Bridges","9820","Retreat","0","4510","5490","27920","9820"
"6","true","true","Uniform","01 Shortest Bridges","9700","Retreat","0","4510","5510","27580","9700"
"9","true","true","Uniform","01 Shortest Bridges","9640","Retreat","0","4510","5490","27590","9640"
"10","true","true","Uniform","01 Shortest Bridges","9540","Retreat","0","4510","5490","27340","9540"
"5","true","true","Uniform","01 Shortest Bridges","9640","Retreat","0","4510","5590","27680","9640"
"12","true","true","Uniform","01 Shortest Bridges","9840","Retreat","0","4510","5500","28200","9840"
"4","true","true","Uniform","01 Shortest Bridges","9460","Retreat","0","4510","5540","27090","9460"
"2","true","true","Uniform","01 Shortest Bridges","9720","Retreat","0","4510","5500","27760","9720"
"3","true","true","Uniform","01 Shortest Bridges","9660","Retreat","0","4510","5540","27640","9660"
"13","true","true","Uniform","01 Shortest Bridges","9660","Retreat","0","4510","5610","27550","9660"
"14","true","true","Uniform","01 Shortest Bridges","9580","Retreat","0","4510","5560","27350","9580"
"15","true","true","Uniform","01 Shortest Bridges","9660","Retreat","0","4510","5570","27690","9660"
"16","true","true","Uniform","01 Shortest Bridges","9540","Retreat","0","4510","5570","27190","9540"
"17","true","true","Uniform","01 Shortest Bridges","9960","Retreat","0","4510","5580","28600","9960"
"18","true","true","Uniform","01 Shortest Bridges","9660","Retreat","0","4510","5560","27600","9660"
"19","true","true","Uniform","01 Shortest Bridges","9440","Retreat","0","4510","5580","26920","9440"
"20","true","true","Uniform","01 Shortest Bridges","10000","Retreat","0","4510","5550","28730","10000"
"25","true","true","Uniform","01 Shortest Bridges","9560","Retreat","0","4510","5510","27490","9560"
"21","true","true","Uniform","01 Shortest Bridges","9800","Retreat","0","4510","5540","28000","9800"
"22","true","true","Uniform","01 Shortest Bridges","9660","Retreat","0","4510","5520","27670","9660"
"23","true","true","Uniform","01 Shortest Bridges","9740","Retreat","0","4510","5530","27820","9740"
"24","true","true","Uniform","01 Shortest Bridges","9620","Retreat","0","4510","5580","27430","9620"
"26","true","true","Uniform","01 Shortest Bridges","9760","Retreat","0","4510","5470","27910","9760"
"27","true","true","Uniform","01 Shortest Bridges","9680","Retreat","0","4510","5550","27730","9680"
"33","true","true","Uniform","01 Shortest Bridges","9680","Retreat","0","4510","5490","27700","9680"
"28","true","true","Uniform","01 Shortest Bridges","9440","Retreat","0","4510","5500","26970","9440"
"29","true","true","Uniform","01 Shortest Bridges","9520","Retreat","0","4510","5650","27260","9520"
"30","true","true","Uniform","01 Shortest Bridges","9840","Retreat","0","4510","5520","28090","9840"
"31","true","true","Uniform","01 Shortest Bridges","9560","Retreat","0","4510","5620","27310","9560"
"32","true","true","Uniform","01 Shortest Bridges","9760","Retreat","0","4510","5610","27780","9760"
"34","true","true","Uniform","01 Shortest Bridges","9680","Retreat","0","4510","5570","27730","9680"
"40","true","true","Uniform","01 Shortest Bridges","9760","Retreat","0","4510","5570","27810","9760"
"38","true","true","Uniform","01 Shortest Bridges","9640","Retreat","0","4510","5510","27620","9640"
"39","true","true","Uniform","01 Shortest Bridges","9540","Retreat","0","4510","5590","27270","9540"
"41","true","true","Uniform","01 Shortest Bridges","9520","Retreat","0","4510","5540","27200","9520"
"35","true","true","Uniform","01 Shortest Bridges","9920","Retreat","0","4510","5520","28430","9920"
"36","true","true","Uniform","01 Shortest Bridges","9660","Retreat","0","4510","5540","27670","9660"
"42","true","true","Uniform","01 Shortest Bridges","9760","Retreat","0","4510","5600","27820","9760"
"37","true","true","Uniform","01 Shortest Bridges","9700","Retreat","0","4510","5540","27790","9700"
"43","true","true","Uniform","01 Shortest Bridges","9700","Retreat","0","4510","5550","27630","9700"
"44","true","true","Uniform","01 Shortest Bridges","9560","Retreat","0","4510","5610","27400","9560"
"45","true","true","Uniform","01 Shortest Bridges","9580","Retreat","0","4510","5520","27380","9580"
"47","true","true","Uniform","01 Shortest Bridges","9700","Retreat","0","4510","5510","27770","9700"
"48","true","true","Uniform","01 Shortest Bridges","9700","Retreat","0","4510","5590","27790","9700"
"49","true","true","Uniform","01 Shortest Bridges","9560","Retreat","0","4510","5530","27380","9560"
"46","true","true","Uniform","01 Shortest Bridges","9780","Retreat","0","4510","5520","27890","9780"
"50","true","true","Uniform","01 Shortest Bridges","9800","Retreat","0","4510","5500","28060","9800"
"58","true","true","Uniform","01 Shortest Bridges","9660","Retreat","0","4510","5470","27620","9660"
"53","true","true","Uniform","01 Shortest Bridges","9740","Retreat","0","4510","5530","27740","9740"
"55","true","true","Uniform","01 Shortest Bridges","9780","Retreat","0","4510","5530","28040","9780"
"56","true","true","Uniform","01 Shortest Bridges","9620","Retreat","0","4510","5500","27560","9620"
"57","true","true","Uniform","01 Shortest Bridges","9540","Retreat","0","4510","5540","27310","9540"
"51","true","true","Uniform","01 Shortest Bridges","9520","Retreat","0","4510","5590","27120","9520"
"54","true","true","Uniform","01 Shortest Bridges","9400","Retreat","0","4510","5560","26930","9400"
"52","true","true","Uniform","01 Shortest Bridges","9700","Retreat","0","4510","5560","27680","9700"
"59","true","true","Uniform","01 Shortest Bridges","9720","Retreat","0","4510","5550","27770","9720"
"60","true","true","Uniform","01 Shortest Bridges","9580","Retreat","0","4510","5560","27310","9580"
"63","true","true","Uniform","01 Shortest Bridges","9640","Retreat","0","4510","5600","27550","9640"
"61","true","true","Uniform","01 Shortest Bridges","9680","Retreat","0","4510","5600","27560","9680"
"62","true","true","Uniform","01 Shortest Bridges","9780","Retreat","0","4510","5590","27940","9780"
"64","true","true","Uniform","01 Shortest Bridges","9800","Retreat","400","4510","5610","28050","9800"
"65","true","true","Uniform","01 Shortest Bridges","9780","Retreat","0","4510","5590","27990","9780"
"67","true","true","Uniform","01 Shortest Bridges","9760","Retreat","0","4510","5550","27850","9760"
"66","true","true","Uniform","01 Shortest Bridges","9660","Retreat","0","4510","5550","27540","9660"
"73","true","true","Uniform","01 Shortest Bridges","9760","Retreat","0","4510","5600","27840","9760"
"71","true","true","Uniform","01 Shortest Bridges","9580","Retreat","0","4510","5590","27390","9580"
"72","true","true","Uniform","01 Shortest Bridges","9840","Retreat","0","4510","5610","28080","9840"
"68","true","true","Uniform","01 Shortest Bridges","9700","Retreat","400","4510","5620","27710","9700"
"70","true","true","Uniform","01 Shortest Bridges","9660","Retreat","0","4510","5480","27520","9660"
"69","true","true","Uniform","01 Shortest Bridges","9700","Retreat","0","4510","5630","27820","9700"
"75","true","true","Uniform","01 Shortest Bridges","9700","Retreat","0","4510","5430","27720","9700"
"80","true","true","Uniform","01 Shortest Bridges","9560","Retreat","0","4510","5520","27260","9560"
"74","true","true","Uniform","01 Shortest Bridges","9580","Retreat","0","4510","5500","27340","9580"
"76","true","true","Uniform","01 Shortest Bridges","9580","Retreat","0","4510","5530","27470","9580"
"77","true","true","Uniform","01 Shortest Bridges","9700","Retreat","0","4510","5590","27600","9700"
"78","true","true","Uniform","01 Shortest Bridges","9580","Retreat","0","4510","5520","27470","9580"
"81","true","true","Uniform","01 Shortest Bridges","9700","Retreat","0","4510","5510","27750","9700"
"79","true","true","Uniform","01 Shortest Bridges","9700","Retreat","0","4510","5510","27600","9700"
"87","true","true","Uniform","01 Shortest Bridges","9800","Retreat","0","4510","5520","28030","9800"
"82","true","true","Uniform","01 Shortest Bridges","9660","Retreat","0","4510","5570","27690","9660"
"86","true","true","Uniform","01 Shortest Bridges","9760","Retreat","0","4510","5530","27850","9760"
"83","true","true","Uniform","01 Shortest Bridges","9800","Retreat","0","4510","5560","28060","9800"
"88","true","true","Uniform","01 Shortest Bridges","9560","Retreat","0","4510","5500","27210","9560"
"89","true","true","Uniform","01 Shortest Bridges","9760","Retreat","0","4510","5510","27930","9760"
"84","true","true","Uniform","01 Shortest Bridges","9560","Retreat","0","4510","5590","27240","9560"
"85","true","true","Uniform","01 Shortest Bridges","9720","Retreat","0","4510","5520","27800","9720"
"94","true","true","Uniform","01 Shortest Bridges","9720","Retreat","0","4510","5540","27770","9720"
"92","true","true","Uniform","01 Shortest Bridges","9760","Retreat","0","4510","5610","27760","9760"
"91","true","true","Uniform","01 Shortest Bridges","9760","Retreat","0","4510","5540","27680","9760"
"90","true","true","Uniform","01 Shortest Bridges","9840","Retreat","0","4510","5540","28150","9840"
"93","true","true","Uniform","01 Shortest Bridges","9700","Retreat","0","4510","5510","27790","9700"
"95","true","true","Uniform","01 Shortest Bridges","9800","Retreat","0","4510","5580","27880","9800"
"96","true","true","Uniform","01 Shortest Bridges","9760","Retreat","0","4510","5600","27890","9760"
"99","true","true","Uniform","01 Shortest Bridges","9620","Retreat","0","4510","5450","27430","9620"
"98","true","true","Uniform","01 Shortest Bridges","9680","Retreat","0","4510","5490","27750","9680"
"102","true","true","Uniform","02 Shortest Bridges","5220","Retreat","0","4510","6800","29760","5220"
"97","true","true","Uniform","01 Shortest Bridges","9700","Retreat","0","4510","5500","27630","9700"
"100","true","true","Uniform","01 Shortest Bridges","9640","Retreat","0","4510","5580","27520","9640"
"103","true","true","Uniform","02 Shortest Bridges","5200","Retreat","0","4510","6780","29700","5200"
"111","true","true","Uniform","02 Shortest Bridges","5220","Retreat","0","4510","6840","29840","5220"
"104","true","true","Uniform","02 Shortest Bridges","5180","Retreat","0","4510","6840","29710","5180"
"105","true","true","Uniform","02 Shortest Bridges","5360","Retreat","0","4520","6760","30500","5360"
"106","true","true","Uniform","02 Shortest Bridges","5240","Retreat","0","4520","6700","29860","5240"
"107","true","true","Uniform","02 Shortest Bridges","5140","Retreat","0","4510","6650","29360","5140"
"101","true","true","Uniform","02 Shortest Bridges","5100","Retreat","400","4520","6850","29190","5100"
"108","true","true","Uniform","02 Shortest Bridges","5200","Retreat","0","4520","6900","29800","5200"
"115","true","true","Uniform","02 Shortest Bridges","5200","Retreat","0","4510","6760","29660","5200"
"109","true","true","Uniform","02 Shortest Bridges","5180","Retreat","0","4510","6710","29590","5180"
"110","true","true","Uniform","02 Shortest Bridges","5180","Retreat","0","4510","6790","29510","5180"
"114","true","true","Uniform","02 Shortest Bridges","5200","Retreat","0","4520","6750","29680","5200"
"113","true","true","Uniform","02 Shortest Bridges","5280","Retreat","400","4520","6760","30190","5280"
"112","true","true","Uniform","02 Shortest Bridges","5420","Retreat","0","4510","6820","30960","5420"
"122","true","true","Uniform","02 Shortest Bridges","5300","Retreat","0","4510","6800","30320","5300"
"116","true","true","Uniform","02 Shortest Bridges","5280","Retreat","0","4520","6800","30170","5280"
"117","true","true","Uniform","02 Shortest Bridges","5180","Retreat","0","4510","6730","29650","5180"
"119","true","true","Uniform","02 Shortest Bridges","5320","Retreat","0","4520","6930","30510","5320"
"118","true","true","Uniform","02 Shortest Bridges","5240","Retreat","0","4520","6800","29970","5240"
"121","true","true","Uniform","02 Shortest Bridges","5120","Retreat","0","4510","6850","29250","5120"
"128","true","true","Uniform","02 Shortest Bridges","5260","Retreat","0","4510","6700","29970","5260"
"120","true","true","Uniform","02 Shortest Bridges","5120","Retreat","0","4510","6630","29260","5120"
"123","true","true","Uniform","02 Shortest Bridges","5320","Retreat","0","4510","6750","30410","5320"
"124","true","true","Uniform","02 Shortest Bridges","5180","Retreat","0","4510","6910","29600","5180"
"125","true","true","Uniform","02 Shortest Bridges","5200","Retreat","0","4520","6790","29720","5200"
"134","true","true","Uniform","02 Shortest Bridges","5220","Retreat","0","4510","6730","29740","5220"
"129","true","true","Uniform","02 Shortest Bridges","5260","Retreat","0","4510","6930","30150","5260"
"130","true","true","Uniform","02 Shortest Bridges","5180","Retreat","0","4510","6820","29730","5180"
"131","true","true","Uniform","02 Shortest Bridges","5120","Retreat","0","4520","6710","29120","5120"
"132","true","true","Uniform","02 Shortest Bridges","5100","Retreat","0","4520","6820","29110","5100"
"126","true","true","Uniform","02 Shortest Bridges","5260","Retreat","0","4520","6920","29920","5260"
"127","true","true","Uniform","02 Shortest Bridges","5200","Retreat","1200","4510","6880","29730","5200"
"133","true","true","Uniform","02 Shortest Bridges","5140","Retreat","0","4520","6810","29420","5140"
"139","true","true","Uniform","02 Shortest Bridges","5080","Retreat","0","4510","6710","29030","5080"
"136","true","true","Uniform","02 Shortest Bridges","5300","Retreat","500","4510","6960","30430","5300"
"137","true","true","Uniform","02 Shortest Bridges","5080","Retreat","0","4520","6780","29060","5080"
"135","true","true","Uniform","02 Shortest Bridges","5380","Retreat","0","4520","6740","30790","5380"
"138","true","true","Uniform","02 Shortest Bridges","5300","Retreat","0","4520","6830","30230","5300"
"141","true","true","Uniform","02 Shortest Bridges","5140","Retreat","0","4510","6770","29470","5140"
"147","true","true","Uniform","02 Shortest Bridges","5080","Retreat","0","4510","6860","28920","5080"
"140","true","true","Uniform","02 Shortest Bridges","5200","Retreat","0","4510","6770","29720","5200"
"142","true","true","Uniform","02 Shortest Bridges","5340","Retreat","0","4510","6870","30540","5340"
"143","true","true","Uniform","02 Shortest Bridges","5160","Retreat","0","4510","6620","29440","5160"
"146","true","true","Uniform","02 Shortest Bridges","5120","Retreat","0","4520","6770","29120","5120"
"145","true","true","Uniform","02 Shortest Bridges","5180","Retreat","0","4520","6920","29700","5180"
"144","true","true","Uniform","02 Shortest Bridges","5220","Retreat","0","4520","6810","29930","5220"
"153","true","true","Uniform","02 Shortest Bridges","5200","Retreat","0","4510","6650","29650","5200"
"148","true","true","Uniform","02 Shortest Bridges","5000","Retreat","0","4520","6890","28630","5000"
"149","true","true","Uniform","02 Shortest Bridges","5260","Retreat","0","4520","6680","30020","5260"
"151","true","true","Uniform","02 Shortest Bridges","5140","Retreat","0","4520","6790","29370","5140"
"152","true","true","Uniform","02 Shortest Bridges","5140","Retreat","0","4510","6800","29410","5140"
"160","true","true","Uniform","02 Shortest Bridges","5140","Retreat","0","4510","6720","29360","5140"
"154","true","true","Uniform","02 Shortest Bridges","5160","Retreat","0","4520","6760","29500","5160"
"155","true","true","Uniform","02 Shortest Bridges","5340","Retreat","0","4510","6860","30540","5340"
"150","true","true","Uniform","02 Shortest Bridges","5080","Retreat","0","4510","6830","29120","5080"
"156","true","true","Uniform","02 Shortest Bridges","5180","Retreat","0","4520","6690","29780","5180"
"157","true","true","Uniform","02 Shortest Bridges","5120","Retreat","0","4510","6700","29140","5120"
"165","true","true","Uniform","02 Shortest Bridges","5020","Retreat","0","4520","6800","28640","5020"
"161","true","true","Uniform","02 Shortest Bridges","5220","Retreat","0","4510","6750","29920","5220"
"163","true","true","Uniform","02 Shortest Bridges","5120","Retreat","0","4520","6860","29310","5120"
"159","true","true","Uniform","02 Shortest Bridges","5020","Retreat","0","4510","6750","28680","5020"
"162","true","true","Uniform","02 Shortest Bridges","5140","Retreat","0","4510","6810","29370","5140"
"158","true","true","Uniform","02 Shortest Bridges","5300","Retreat","0","4510","6740","30320","5300"
"164","true","true","Uniform","02 Shortest Bridges","5220","Retreat","0","4510","6800","29870","5220"
"171","true","true","Uniform","02 Shortest Bridges","5280","Retreat","0","4510","6770","30140","5280"
"167","true","true","Uniform","02 Shortest Bridges","5280","Retreat","0","4520","6880","30100","5280"
"166","true","true","Uniform","02 Shortest Bridges","5320","Retreat","0","4520","6770","30370","5320"
"169","true","true","Uniform","02 Shortest Bridges","5240","Retreat","0","4510","6720","30050","5240"
"170","true","true","Uniform","02 Shortest Bridges","5260","Retreat","0","4510","6820","30140","5260"
"168","true","true","Uniform","02 Shortest Bridges","5260","Retreat","0","4510","6740","30020","5260"
"178","true","true","Uniform","02 Shortest Bridges","5200","Retreat","300","4520","6780","29830","5200"
"172","true","true","Uniform","02 Shortest Bridges","5220","Retreat","0","4510","6830","29710","5220"
"173","true","true","Uniform","02 Shortest Bridges","5260","Retreat","0","4520","6900","30170","5260"
"175","true","true","Uniform","02 Shortest Bridges","5240","Retreat","0","4520","6710","30070","5240"
"177","true","true","Uniform","02 Shortest Bridges","5200","Retreat","400","4510","6890","29730","5200"
"184","true","true","Uniform","02 Shortest Bridges","5280","Retreat","0","4520","6780","30260","5280"
"179","true","true","Uniform","02 Shortest Bridges","5260","Retreat","0","4520","6780","30070","5260"
"174","true","true","Uniform","02 Shortest Bridges","5120","Retreat","0","4510","6820","29490","5120"
"180","true","true","Uniform","02 Shortest Bridges","5340","Retreat","0","4520","6880","30640","5340"
"176","true","true","Uniform","02 Shortest Bridges","5100","Retreat","0","4510","6740","29110","5100"
"181","true","true","Uniform","02 Shortest Bridges","5160","Retreat","0","4510","6800","29420","5160"
"182","true","true","Uniform","02 Shortest Bridges","5320","Retreat","400","4510","6850","30410","5320"
"189","true","true","Uniform","02 Shortest Bridges","5200","Retreat","0","4520","6870","29730","5200"
"183","true","true","Uniform","02 Shortest Bridges","5060","Retreat","0","4520","6770","28920","5060"
"185","true","true","Uniform","02 Shortest Bridges","5240","Retreat","0","4510","6860","30010","5240"
"186","true","true","Uniform","02 Shortest Bridges","5240","Retreat","0","4510","6770","29980","5240"
"187","true","true","Uniform","02 Shortest Bridges","5240","Retreat","0","4510","6790","29870","5240"
"188","true","true","Uniform","02 Shortest Bridges","5120","Retreat","0","4510","6860","29260","5120"
"196","true","true","Uniform","02 Shortest Bridges","5260","Retreat","0","4510","6840","30080","5260"
"190","true","true","Uniform","02 Shortest Bridges","5120","Retreat","0","4520","6820","29170","5120"
"192","true","true","Uniform","02 Shortest Bridges","5140","Retreat","0","4510","6780","29520","5140"
"195","true","true","Uniform","02 Shortest Bridges","5100","Retreat","0","4510","6800","29190","5100"
"191","true","true","Uniform","02 Shortest Bridges","5080","Retreat","0","4510","6700","29180","5080"
"194","true","true","Uniform","02 Shortest Bridges","5140","Retreat","0","4510","6720","29380","5140"
"193","true","true","Uniform","02 Shortest Bridges","5260","Retreat","0","4520","6810","29960","5260"
"202","true","true","Uniform","03 Shortest Bridges","2300","Retreat","0","4510","6190","19770","2300"
"199","true","true","Uniform","02 Shortest Bridges","5200","Retreat","0","4510","6770","29720","5200"
"198","true","true","Uniform","02 Shortest Bridges","5080","Retreat","0","4510","6720","28990","5080"
"201","true","true","Uniform","03 Shortest Bridges","2280","Retreat","0","4520","6310","19640","2280"
"203","true","true","Uniform","03 Shortest Bridges","2280","Retreat","1200","4530","6390","19460","2280"
"200","true","true","Uniform","02 Shortest Bridges","5100","Retreat","0","4510","6650","29130","5100"
"204","true","true","Uniform","03 Shortest Bridges","2280","Retreat","0","4540","6510","19570","2280"
"197","true","true","Uniform","02 Shortest Bridges","5100","Retreat","0","4510","6770","29180","5100"
"209","true","true","Uniform","03 Shortest Bridges","2260","Retreat","0","4510","6460","19370","2260"
"205","true","true","Uniform","03 Shortest Bridges","2360","Retreat","0","4510","6290","20260","2360"
"207","true","true","Uniform","03 Shortest Bridges","2320","Retreat","1200","4510","6370","19890","2320"
"218","true","true","Uniform","03 Shortest Bridges","169","Victory","4500","70","1730","1490","169"
"206","true","true","Uniform","03 Shortest Bridges","2320","Retreat","0","4530","6260","19920","2320"
"208","true","true","Uniform","03 Shortest Bridges","2320","Retreat","0","4520","6450","19990","2320"
"217","true","true","Uniform","03 Shortest Bridges","2320","Retreat","0","4510","6370","19810","2320"
"210","true","true","Uniform","03 Shortest Bridges","2320","Retreat","0","4550","6370","19980","2320"
"211","true","true","Uniform","03 Shortest Bridges","2240","Retreat","0","4530","6430","19270","2240"
"213","true","true","Uniform","03 Shortest Bridges","2300","Retreat","0","4530","6280","19800","2300"
"212","true","true","Uniform","03 Shortest Bridges","2340","Retreat","300","4540","6380","20020","2340"
"214","true","true","Uniform","03 Shortest Bridges","2360","Retreat","0","4520","6420","20320","2360"
"215","true","true","Uniform","03 Shortest Bridges","2320","Retreat","0","4520","6230","19940","2320"
"216","true","true","Uniform","03 Shortest Bridges","2240","Retreat","0","4520","6250","19260","2240"
"223","true","true","Uniform","03 Shortest Bridges","2240","Retreat","0","4510","6370","19320","2240"
"219","true","true","Uniform","03 Shortest Bridges","2260","Retreat","1200","4540","6490","19380","2260"
"220","true","true","Uniform","03 Shortest Bridges","2320","Retreat","0","4530","6290","19850","2320"
"221","true","true","Uniform","03 Shortest Bridges","2320","Retreat","0","4540","6310","19860","2320"
"225","true","true","Uniform","03 Shortest Bridges","2160","Retreat","0","4550","6230","18560","2160"
"226","true","true","Uniform","03 Shortest Bridges","2320","Retreat","0","4520","6420","19930","2320"
"224","true","true","Uniform","03 Shortest Bridges","2540","Retreat","0","4520","6470","21790","2540"
"227","true","true","Uniform","03 Shortest Bridges","2280","Retreat","900","4510","6280","19570","2280"
"231","true","true","Uniform","03 Shortest Bridges","2260","Retreat","0","4530","6270","19440","2260"
"222","true","true","Uniform","03 Shortest Bridges","2380","Retreat","0","4520","6530","20450","2380"
"228","true","true","Uniform","03 Shortest Bridges","2240","Retreat","0","4550","6380","19210","2240"
"229","true","true","Uniform","03 Shortest Bridges","2280","Retreat","0","4520","6200","19580","2280"
"233","true","true","Uniform","03 Shortest Bridges","2260","Retreat","1200","4540","6250","19490","2260"
"232","true","true","Uniform","03 Shortest Bridges","2320","Retreat","0","4520","6430","19900","2320"
"239","true","true","Uniform","03 Shortest Bridges","2220","Retreat","0","4510","6190","18960","2220"
"230","true","true","Uniform","03 Shortest Bridges","2240","Retreat","0","4520","6540","19110","2240"
"237","true","true","Uniform","03 Shortest Bridges","2300","Retreat","1200","4520","6480","19800","2300"
"236","true","true","Uniform","03 Shortest Bridges","2440","Retreat","0","4530","6490","20930","2440"
"235","true","true","Uniform","03 Shortest Bridges","2380","Retreat","0","4520","6450","20310","2380"
"238","true","true","Uniform","03 Shortest Bridges","2200","Retreat","0","4510","6420","18830","2200"
"241","true","true","Uniform","03 Shortest Bridges","2200","Retreat","0","4520","6320","18880","2200"
"234","true","true","Uniform","03 Shortest Bridges","2240","Retreat","0","4530","6360","19220","2240"
"245","true","true","Uniform","03 Shortest Bridges","2240","Retreat","0","4530","6380","19320","2240"
"240","true","true","Uniform","03 Shortest Bridges","2240","Retreat","0","4530","6180","19240","2240"
"242","true","true","Uniform","03 Shortest Bridges","2400","Retreat","0","4530","6240","20740","2400"
"243","true","true","Uniform","03 Shortest Bridges","2260","Retreat","0","4510","6390","19400","2260"
"244","true","true","Uniform","03 Shortest Bridges","2260","Retreat","1800","4540","6480","19440","2260"
"253","true","true","Uniform","03 Shortest Bridges","2340","Retreat","0","4540","6440","20100","2340"
"247","true","true","Uniform","03 Shortest Bridges","2320","Retreat","0","4540","6170","19960","2320"
"246","true","true","Uniform","03 Shortest Bridges","2300","Retreat","0","4530","6360","19770","2300"
"249","true","true","Uniform","03 Shortest Bridges","2160","Retreat","0","4510","6370","18490","2160"
"248","true","true","Uniform","03 Shortest Bridges","2380","Retreat","0","4510","6560","20460","2380"
"251","true","true","Uniform","03 Shortest Bridges","2320","Retreat","0","4540","6520","19910","2320"
"250","true","true","Uniform","03 Shortest Bridges","2280","Retreat","0","4520","6340","19680","2280"
"255","true","true","Uniform","03 Shortest Bridges","2240","Retreat","0","4510","6510","19160","2240"
"252","true","true","Uniform","03 Shortest Bridges","2260","Retreat","0","4530","6350","19470","2260"
