"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"IrpinModel.nlogo"
"Vary Site-Selection Artillery Active"
"04/12/2025 16:31:24:661 -0400"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","459","0","624"
"[run number]","turn-on-artillery?","turn-on-stop-conditions?","site-selection-mode","[step]","battle-outcome","total-infantry-crossed","total-infantry-casualties / 10","total-infantry-used","ticks"
"6","true","true","01 Shortest Bridges","9840","Retreat","0","4510","5540","9840"
"1","true","true","01 Shortest Bridges","9560","Retreat","0","4510","5500","9560"
"7","true","true","01 Shortest Bridges","9660","Retreat","0","4510","5550","9660"
"3","true","true","01 Shortest Bridges","9580","Retreat","0","4510","5590","9580"
"2","true","true","01 Shortest Bridges","9460","Retreat","0","4510","5550","9460"
"5","true","true","01 Shortest Bridges","9860","Retreat","0","4510","5610","9860"
"4","true","true","01 Shortest Bridges","9740","Retreat","0","4510","5500","9740"
"8","true","true","01 Shortest Bridges","9560","Retreat","0","4510","5510","9560"
"9","true","true","01 Shortest Bridges","9920","Retreat","0","4510","5540","9920"
"10","true","true","01 Shortest Bridges","9560","Retreat","0","4510","5610","9560"
"11","true","true","02 Shortest Bridges","5140","Retreat","0","4510","6780","5140"
"12","true","true","02 Shortest Bridges","5340","Retreat","0","4510","6680","5340"
"13","true","true","02 Shortest Bridges","5220","Retreat","0","4520","6860","5220"
"14","true","true","02 Shortest Bridges","5320","Retreat","0","4510","6700","5320"
"15","true","true","02 Shortest Bridges","5180","Retreat","0","4510","6850","5180"
"16","true","true","02 Shortest Bridges","5280","Retreat","0","4510","6860","5280"
"17","true","true","02 Shortest Bridges","5200","Retreat","0","4510","6890","5200"
