x_runNumber_,turn_on_artillery_,turn_on_stop_conditions_,spacing_mode,site_selection_mode,wave_pause,wave_duration,x_step_,battle_outcome,total_infantry_crossed,total_infantry_casualties_10,total_infantry_used,total_pontoons_used,ticks
1,true,true,Waves,01 Shortest Bridges,30,100,10540,Retreat,0,4510,5550,23710,10540
4,true,true,Waves,01 Shortest Bridges,30,100,10500,Retreat,0,4510,5600,23650,10500
11,true,true,Waves,01 Shortest Bridges,30,133,10560,Retreat,0,4510,5540,25090,10560
7,true,true,Waves,01 Shortest Bridges,30,100,10240,Retreat,0,4510,5600,23060,10240
9,true,true,Waves,01 Shortest Bridges,30,100,10560,Retreat,0,4510,5530,23730,10560
12,true,true,Waves,01 Shortest Bridges,30,133,10840,Retreat,0,4510,5530,25740,10840
10,true,true,Waves,01 Shortest Bridges,30,100,10480,Retreat,0,4510,5510,23540,10480
8,true,true,Waves,01 Shortest Bridges,30,100,10540,Retreat,0,4510,5500,23580,10540
6,true,true,Waves,01 Shortest Bridges,30,100,10500,Retreat,0,4510,5580,23730,10500
3,true,true,Waves,01 Shortest Bridges,30,100,10300,Retreat,0,4510,5620,23150,10300
5,true,true,Waves,01 Shortest Bridges,30,100,10340,Retreat,0,4510,5510,23380,10340
2,true,true,Waves,01 Shortest Bridges,30,100,10320,Retreat,0,4510,5640,23250,10320
13,true,true,Waves,01 Shortest Bridges,30,133,10380,Retreat,0,4510,5610,24670,10380
14,true,true,Waves,01 Shortest Bridges,30,133,10620,Retreat,0,4510,5600,25150,10620
15,true,true,Waves,01 Shortest Bridges,30,133,10640,Retreat,0,4510,5620,25180,10640
16,true,true,Waves,01 Shortest Bridges,30,133,10580,Retreat,0,4510,5580,25230,10580
17,true,true,Waves,01 Shortest Bridges,30,133,10820,Retreat,0,4510,5570,25580,10820
18,true,true,Waves,01 Shortest Bridges,30,133,10360,Retreat,900,4510,5610,24600,10360
19,true,true,Waves,01 Shortest Bridges,30,133,10700,Retreat,100,4510,5630,25370,10700
21,true,true,Waves,01 Shortest Bridges,30,166,10580,Retreat,0,4510,5620,25950,10580
20,true,true,Waves,01 Shortest Bridges,30,133,10600,Retreat,0,4510,5530,25070,10600
24,true,true,Waves,01 Shortest Bridges,30,166,10520,Retreat,0,4510,5580,25890,10520
22,true,true,Waves,01 Shortest Bridges,30,166,10740,Retreat,0,4510,5580,26300,10740
23,true,true,Waves,01 Shortest Bridges,30,166,10660,Retreat,0,4510,5630,26230,10660
25,true,true,Waves,01 Shortest Bridges,30,166,10420,Retreat,0,4510,5460,25620,10420
27,true,true,Waves,01 Shortest Bridges,30,166,10480,Retreat,0,4510,5580,25770,10480
26,true,true,Waves,01 Shortest Bridges,30,166,10740,Retreat,0,4510,5610,26380,10740
28,true,true,Waves,01 Shortest Bridges,30,166,10260,Retreat,0,4510,5610,25310,10260
29,true,true,Waves,01 Shortest Bridges,30,166,10620,Retreat,0,4510,5610,26090,10620
30,true,true,Waves,01 Shortest Bridges,30,166,10760,Retreat,100,4510,5600,26390,10760
31,true,true,Waves,01 Shortest Bridges,30,200,10160,Retreat,0,4510,5640,25410,10160
33,true,true,Waves,01 Shortest Bridges,30,200,9980,Retreat,0,4510,5570,25130,9980
32,true,true,Waves,01 Shortest Bridges,30,200,10260,Retreat,0,4510,5540,25910,10260
35,true,true,Waves,01 Shortest Bridges,30,200,9960,Retreat,0,4510,5530,24940,9960
36,true,true,Waves,01 Shortest Bridges,30,200,10040,Retreat,0,4510,5530,25250,10040
34,true,true,Waves,01 Shortest Bridges,30,200,10180,Retreat,0,4510,5520,25480,10180
37,true,true,Waves,01 Shortest Bridges,30,200,9900,Retreat,0,4510,5540,24870,9900
38,true,true,Waves,01 Shortest Bridges,30,200,10040,Retreat,0,4510,5510,25300,10040
39,true,true,Waves,01 Shortest Bridges,30,200,9980,Retreat,0,4510,5520,25070,9980
40,true,true,Waves,01 Shortest Bridges,30,200,10260,Retreat,0,4510,5600,25850,10260
41,true,true,Waves,01 Shortest Bridges,30,233,10180,Retreat,0,4510,5420,26140,10180
42,true,true,Waves,01 Shortest Bridges,30,233,10100,Retreat,0,4510,5560,25800,10100
49,true,true,Waves,01 Shortest Bridges,30,233,10280,Retreat,0,4510,5590,26350,10280
44,true,true,Waves,01 Shortest Bridges,30,233,10140,Retreat,0,4510,5520,25870,10140
43,true,true,Waves,01 Shortest Bridges,30,233,10300,Retreat,0,4510,5530,26430,10300
45,true,true,Waves,01 Shortest Bridges,30,233,10180,Retreat,0,4510,5460,26120,10180
46,true,true,Waves,01 Shortest Bridges,30,233,10560,Retreat,0,4510,5620,27020,10560
47,true,true,Waves,01 Shortest Bridges,30,233,10420,Retreat,0,4510,5590,26670,10420
48,true,true,Waves,01 Shortest Bridges,30,233,10320,Retreat,0,4510,5470,26350,10320
50,true,true,Waves,01 Shortest Bridges,30,233,10100,Retreat,0,4510,5640,25690,10100
51,true,true,Waves,01 Shortest Bridges,30,266,9940,Retreat,0,4510,5560,25940,9940
52,true,true,Waves,01 Shortest Bridges,30,266,10040,Retreat,0,4510,5490,26060,10040
55,true,true,Waves,01 Shortest Bridges,30,266,10360,Retreat,100,4510,5580,26950,10360
53,true,true,Waves,01 Shortest Bridges,30,266,10200,Retreat,0,4510,5530,26450,10200
54,true,true,Waves,01 Shortest Bridges,30,266,10180,Retreat,0,4510,5520,26360,10180
56,true,true,Waves,01 Shortest Bridges,30,266,10240,Retreat,0,4510,5530,26670,10240
57,true,true,Waves,01 Shortest Bridges,30,266,10200,Retreat,100,4510,5550,26340,10200
58,true,true,Waves,01 Shortest Bridges,30,266,9980,Retreat,0,4510,5490,25950,9980
59,true,true,Waves,01 Shortest Bridges,30,266,10320,Retreat,0,4510,5500,26810,10320
60,true,true,Waves,01 Shortest Bridges,30,266,10160,Retreat,0,4510,5590,26330,10160
61,true,true,Waves,01 Shortest Bridges,30,300,10160,Retreat,0,4510,5630,26610,10160
62,true,true,Waves,01 Shortest Bridges,30,300,9980,Retreat,0,4510,5610,26120,9980
63,true,true,Waves,01 Shortest Bridges,30,300,9980,Retreat,0,4510,5540,26200,9980
65,true,true,Waves,01 Shortest Bridges,30,300,9800,Retreat,0,4510,5530,25640,9800
64,true,true,Waves,01 Shortest Bridges,30,300,9980,Retreat,0,4510,5570,26090,9980
66,true,true,Waves,01 Shortest Bridges,30,300,9880,Retreat,0,4510,5580,26090,9880
67,true,true,Waves,01 Shortest Bridges,30,300,9740,Retreat,0,4510,5540,25490,9740
69,true,true,Waves,01 Shortest Bridges,30,300,9960,Retreat,0,4510,5540,26060,9960
70,true,true,Waves,01 Shortest Bridges,30,300,9700,Retreat,0,4510,5580,25480,9700
68,true,true,Waves,01 Shortest Bridges,30,300,9900,Retreat,0,4510,5500,25940,9900
71,true,true,Waves,01 Shortest Bridges,40,100,11060,Retreat,0,4510,5530,22970,11060
72,true,true,Waves,01 Shortest Bridges,40,100,11000,Retreat,0,4510,5570,22970,11000
73,true,true,Waves,01 Shortest Bridges,40,100,11120,Retreat,0,4510,5610,23380,11120
74,true,true,Waves,01 Shortest Bridges,40,100,11140,Retreat,0,4510,5570,23350,11140
75,true,true,Waves,01 Shortest Bridges,40,100,11060,Retreat,0,4510,5600,23090,11060
76,true,true,Waves,01 Shortest Bridges,40,100,11140,Retreat,0,4510,5630,23300,11140
