"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"IrpinModel.nlogo"
"Vary Site-Selection Artillery Active Waves"
"04/12/2025 19:56:18:235 -0400"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","459","0","624"
"[run number]","turn-on-artillery?","turn-on-stop-conditions?","spacing-mode","site-selection-mode","wave-pause","wave-duration","[step]","battle-outcome","total-infantry-crossed","total-infantry-casualties / 10","total-infantry-used","ticks"
"6","true","true","Waves","01 Shortest Bridges","30","150","10880","Retreat","0","4510","5530","10880"
"1","true","true","Waves","01 Shortest Bridges","30","100","10480","Retreat","0","4510","5590","10480"
"14","true","true","Waves","01 Shortest Bridges","30","230","10500","Retreat","0","4510","5630","10500"
"7","true","true","Waves","01 Shortest Bridges","30","160","10140","Retreat","0","4510","5500","10140"
"13","true","true","Waves","01 Shortest Bridges","30","220","10160","Retreat","0","4510","5590","10160"
"5","true","true","Waves","01 Shortest Bridges","30","140","10300","Retreat","0","4510","5560","10300"
"11","true","true","Waves","01 Shortest Bridges","30","200","10200","Retreat","0","4510","5600","10200"
"8","true","true","Waves","01 Shortest Bridges","30","170","10880","Retreat","0","4510","5630","10880"
"12","true","true","Waves","01 Shortest Bridges","30","210","10620","Retreat","0","4510","5590","10620"
"15","true","true","Waves","01 Shortest Bridges","30","240","10080","Retreat","0","4510","5630","10080"
"16","true","true","Waves","01 Shortest Bridges","30","250","10440","Retreat","0","4510","5410","10440"
"3","true","true","Waves","01 Shortest Bridges","30","120","10460","Retreat","0","4510","5610","10460"
"4","true","true","Waves","01 Shortest Bridges","30","130","10980","Retreat","0","4510","5630","10980"
"17","true","true","Waves","01 Shortest Bridges","30","260","9960","Retreat","0","4510","5600","9960"
"9","true","true","Waves","01 Shortest Bridges","30","180","10140","Retreat","0","4510","5420","10140"
"2","true","true","Waves","01 Shortest Bridges","30","110","11240","Retreat","0","4510","5620","11240"
"10","true","true","Waves","01 Shortest Bridges","30","190","10540","Retreat","0","4510","5610","10540"
"30","true","true","Waves","01 Shortest Bridges","40","180","10320","Retreat","0","4510","5610","10320"
"19","true","true","Waves","01 Shortest Bridges","30","280","10100","Retreat","0","4510","5600","10100"
"18","true","true","Waves","01 Shortest Bridges","30","270","10340","Retreat","0","4510","5550","10340"
"20","true","true","Waves","01 Shortest Bridges","30","290","10340","Retreat","0","4510","5620","10340"
"21","true","true","Waves","01 Shortest Bridges","30","300","9940","Retreat","0","4510","5590","9940"
