"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"IrpinModel.nlogo"
"Vary Site-Selection Artillery Active"
"04/12/2025 17:21:21:672 -0400"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","459","0","624"
"[run number]","turn-on-artillery?","turn-on-stop-conditions?","site-selection-mode","[step]","battle-outcome","total-infantry-crossed","total-infantry-casualties / 10","total-infantry-used","ticks"
"1","true","true","01 Shortest Bridges","9440","Retreat","0","4510","5600","9440"
"6","true","true","01 Shortest Bridges","9560","Retreat","0","4510","5580","9560"
"8","true","true","01 Shortest Bridges","9500","Retreat","0","4510","5520","9500"
"7","true","true","01 Shortest Bridges","9560","Retreat","0","4510","5520","9560"
"5","true","true","01 Shortest Bridges","9600","Retreat","0","4510","5580","9600"
"2","true","true","01 Shortest Bridges","9660","Retreat","0","4510","5500","9660"
"3","true","true","01 Shortest Bridges","9620","Retreat","0","4510","5560","9620"
"10","true","true","01 Shortest Bridges","9660","Retreat","0","4510","5480","9660"
"4","true","true","01 Shortest Bridges","9640","Retreat","0","4510","5500","9640"
"9","true","true","01 Shortest Bridges","9880","Retreat","0","4510","5610","9880"
